,0,1,2
0,MAHARASHTRA,ANDAMAN AND NICOBAR ISLANDS,0
1,MAHARASHTRA,ANDHRA PRADESH,714573
2,MAHARASHTRA,ARUNACHAL PRADESH,0
3,MAHARASHTRA,ASSAM,862
4,MAHARASHTRA,BIHAR,171098
5,MAHARASHTRA,CHANDIGARH,0
6,MAHARASHTRA,CHHATTISGARH,260545
7,MAHARASHTRA,DADRA AND NAGAR HAVELI,0
8,MAHARASHTRA,DAMAN AND DIU,0
9,MAHARASHTRA,GOA,961158
10,MAHARASHTRA,GUJARAT,1273818
11,MAHARASHTRA,HARYANA,53419
12,MAHARASHTRA,HIMACHAL PRADESH,0
13,MAHARASHTRA,JAMMU AND KASHMIR,2032
14,MAHARASHTRA,JHARKHAND,68907
15,MAHARASHTRA,KARNATAKA,559191
16,MAHARASHTRA,KERALA,65307
17,MAHARASHTRA,LAKSHADWEEP,0
18,MAHARASHTRA,MADHYA PRADESH,790424
19,MAHARASHTRA,MAHARASHTRA,0
20,MAHARASHTRA,MANIPUR,0
21,MAHARASHTRA,MEGHALAYA,0
22,MAHARASHTRA,MIZORAM,0
23,MAHARASHTRA,NAGALAND,0
24,MAHARASHTRA,ODISHA,191409
25,MAHARASHTRA,PUDUCHERRY,0
26,MAHARASHTRA,PUNJAB,7302
27,MAHARASHTRA,RAJASTHAN,339478
28,MAHARASHTRA,TAMIL NADU,175845
29,MAHARASHTRA,TRIPURA,0
30,MAHARASHTRA,UTTAR PRADESH,1034564
31,MAHARASHTRA,UTTARAKHAND,712
32,MAHARASHTRA,WEST BENGAL,105707
33,MAHARASHTRA,DELHI NCT,11547
34,MAHARASHTRA,SIKKIM,0
