Andhra Pradesh,17.6868,83.2185
Assam,26.1433,91.7898
Bihar,25.5941,85.1376
Chhattisgarh,21.2514,81.6296
DELHI NCT,28.7041,77.1025
Gujarat,23.2156,72.6369
Haryana,28.8955,76.6066
Himachal Pradesh,31.1048,77.1734
Jammu and Kashmir,34.0837,74.7973
Jharkhand,23.3441,85.3096
Karnataka,12.9716,77.5946
Kerala,8.5241,76.9366
Madhya Pradesh,23.2599,77.4126
Maharashtra,19.076,72.8777
Manipur,24.817,93.9368
Meghalaya,25.5788,91.8933
Odisha,20.2961,85.8245
Punjab,30.901,75.8573
Rajasthan,26.9124,75.7873
Tamil Nadu,13.0827,80.2707
TELANGANA,17.385,78.4867
Tripura,23.8315,91.2868
Uttar Pradesh,26.8467,80.9462
Uttarakhand,30.3165,78.0322
West Bengal,22.5726,88.3639
ARUNACHAL PRADESH,27.0844,93.6053
ANDAMAN AND NICOBAR ISLANDS,11.7401,92.6586
DAMAN & DIU,20.227,73.0169
CHANDIGARH,30.7333,76.7794
MIZORAM ,23.1645,92.9376
PUDUCHERRY,11.9416,79.8083
GOA,15.2993,74.124
DADRA & NAGAR HAVELI,20.1809,73.0169
LAKSHADWEEP,10.57,72.64
SIKKIM,27.533,88.5122
NAGALAND,25.6751,94.1086
